date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:55:45	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Aug%202025%2021:55:46%20GMT	https://traderobotltd.com/robots.txt		(from )
22:55:46	29582/29582	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Aug%202025%2021:55:47%20GMT	https://traderobotltd.com/	C:/My%20Web%20Sites/Traderbot/traderobotltd.com/index.html	(from )
22:55:47	18141/18141	---MCZ	200	added ('OK')	application/javascript	etag:W/%2268631292-46dd%22	https://www.smartsuppchat.com/loader.js?	C:/My%20Web%20Sites/Traderbot/www.smartsuppchat.com/loaderd41d.js	(from https://traderobotltd.com/)
22:55:47	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Aug%202025%2021:55:48%20GMT	https://traderobotltd.com/%e2%80%9chttps://www.smartsupp.com%e2%80%9d	C:/My%20Web%20Sites/Traderbot/traderobotltd.com/%e2%80%9chttps_/www.smartsupp.com%e2%80%9d	(from https://traderobotltd.com/)
22:55:48	1279/1279	---M--	200	added ('OK')	image/png	date:Fri,%2002%20May%202025%2010:31:46%20GMT	https://traderobotltd.com/styles/images/favicon.png	C:/My%20Web%20Sites/Traderbot/traderobotltd.com/styles/images/favicon.png	(from https://traderobotltd.com/)
22:55:49	76178/76178	---M-Z	200	added ('OK')	text/css	date:Fri,%2002%20May%202025%2010:31:42%20GMT	https://traderobotltd.com/styles/animate.css	C:/My%20Web%20Sites/Traderbot/traderobotltd.com/styles/animate.css	(from https://traderobotltd.com/)
22:55:49	121200/121200	---MCZ	200	added ('OK')	text/css	etag:W/%22ec3bb52a00e176a7181d454dffaea219%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	C:/My%20Web%20Sites/Traderbot/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	(from https://traderobotltd.com/)
22:55:49	43818/43818	---M-Z	200	added ('OK')	text/css	date:Fri,%2002%20May%202025%2010:31:42%20GMT	https://traderobotltd.com/styles/custom.css?v=1574532981}	C:/My%20Web%20Sites/Traderbot/traderobotltd.com/styles/customc540.css	(from https://traderobotltd.com/)
22:55:50	114697/114697	---M-Z	200	added ('OK')	text/css	date:Fri,%2002%20May%202025%2010:31:42%20GMT	https://traderobotltd.com/styles/hover.css	C:/My%20Web%20Sites/Traderbot/traderobotltd.com/styles/hover.css	(from https://traderobotltd.com/)
22:55:52	37045/37045	---MCZ	200	added ('OK')	application/javascript	etag:W/%225869c96cc8f19086aee625d670d741f9%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	C:/My%20Web%20Sites/Traderbot/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	(from https://traderobotltd.com/)
22:55:52	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Aug%202025%2021:55:54%20GMT	https://traderobotltd.com/styles/setting2.js?v=56	C:/My%20Web%20Sites/Traderbot/traderobotltd.com/styles/setting2fad9.js	(from https://traderobotltd.com/)
22:55:53	95786/95786	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1/jquery.min.js	C:/My%20Web%20Sites/Traderbot/ajax.googleapis.com/ajax/libs/jquery/1/jquery.min.js	(from https://traderobotltd.com/)
